Número,Lobsang - Rebeca,Guillermo - Shawn,Diego - Saul,Giovanna - Mario,Dessiré - Fabricio,Jacobo - Cesar
1,6,2,5,5,6,6
2,5,4,6,5,4,6
3,5,5,5,5,3,5
4,6,3,5,7,6,3
5,5,7,4,7,6,2
6,4,3,4,4,6,5
7,6,4,4,7,6,7
8,6,6,3,4,7,8
9,5,4,6,6,4,4
10,4,4,5,6,4,5
11,6,3,4,6,5,3
12,6,5,7,5,4,4
13,5,3,5,5,5,7
14,6,2,7,5,3,6
15,9,3,3,6,4,8
16,8,4,5,6,8,4
17,1,8,4,6,5,2
18,7,6,7,6,3,3
19,5,4,3,7,6,7
20,3,2,4,4,6,2
21,5,5,6,5,6,7
22,3,5,3,4,5,6
23,3,3,4,5,5,2
24,4,8,5,6,5,5
25,3,4,6,5,6,8
26,5,7,2,8,4,2
27,4,4,7,7,6,4
28,4,6,3,4,6,4
29,6,3,6,3,7,5
30,2,5,2,6,6,5
31,5,8,4,4,6,3
32,6,7,7,3,6,6
33,7,3,5,6,5,3
34,5,3,5,2,4,5
35,5,6,5,7,2,6
36,2,5,3,5,5,6
37,3,4,6,8,3,3
38,5,4,6,7,6,6
39,7,5,5,6,4,7
40,6,2,4,7,4,3
41,5,5,4,4,6,5
42,1,3,7,5,5,4
43,6,7,4,5,3,5
44,4,6,7,6,4,4
45,4,3,6,4,5,3
46,8,6,5,7,5,5
47,5,5,4,4,6,6
48,3,2,4,6,5,4
49,6,4,3,4,7,7
50,5,6,5,3,5,4
51,6,5,5,4,3,7
52,4,4,4,5,3,6
53,5,6,4,5,5,4
54,5,3,7,4,5,6
55,3,6,4,3,5,7
56,2,5,5,5,4,6
57,6,3,5,6,10,7
58,5,7,4,7,5,4
59,2,8,7,5,6,2
60,9,7,6,4,4,4
61,7,4,9,5,3,3
62,4,4,5,4,5,4
63,7,4,5,4,6,5
64,4,8,5,4,4,5
65,3,5,4,6,3,7
66,3,4,5,8,4,4
67,6,3,5,6,6,5
68,6,5,7,7,5,4
69,4,7,5,5,4,2
70,4,5,4,1,6,4
71,6,2,8,3,8,7
72,5,2,3,6,5,5
73,5,3,4,4,5,3
74,4,5,4,5,5,5
75,6,1,4,4,4,5
76,4,6,8,3,5,4
77,9,4,4,5,8,4
78,6,6,9,4,4,6
79,4,4,7,3,5,5
80,4,4,7,4,5,4
81,8,3,5,6,3,4
82,6,3,5,8,3,4
83,4,6,7,5,4,5
84,4,6,5,6,5,4
85,8,3,4,5,2,6
86,6,4,4,7,7,6
87,8,5,6,5,4,6
88,3,5,7,4,5,8
89,6,5,4,6,4,3
90,2,7,2,5,6,5
91,5,6,5,4,5,7
92,6,7,5,4,6,3
93,2,4,3,10,3,4
94,4,3,6,8,6,8
95,5,5,7,3,5,4
96,3,4,5,7,7,6
97,4,5,4,5,7,5
98,6,7,4,5,9,4
99,5,6,4,4,5,6
100,7,5,7,4,3,4